iter	Passed	Remaining
639	846	476
640	848	475
641	849	473
642	850	472
643	851	470
644	852	469
645	853	467
646	854	466
647	855	464
648	856	463
649	857	461
650	858	460
651	859	458
652	860	457
653	861	455
654	862	454
655	863	452
656	864	451
657	865	449
658	866	448
659	867	446
660	868	445
661	869	443
662	870	442
663	871	440
664	872	439
665	873	437
666	874	436
667	875	434
668	876	433
669	877	432
670	878	430
671	879	429
672	880	427
673	881	426
674	881	424
675	883	423
676	883	421
677	884	420
678	885	418
679	886	417
680	887	415
681	888	414
682	889	412
683	890	411
684	891	410
685	893	408
686	894	407
687	895	405
688	896	404
689	897	403
690	897	401
691	898	400
692	899	398
693	900	397
694	901	395
695	902	394
696	903	392
697	904	391
698	905	389
699	906	388
700	908	387
701	909	385
702	910	384
703	911	383
704	926	387
705	929	386
706	931	385
707	932	384
708	934	383
709	936	382
710	938	381
711	939	380
712	941	378
713	942	377
714	943	376
715	944	374
716	945	373
717	946	371
718	947	370
719	948	368
720	949	367
721	950	365
722	951	364
723	952	363
724	954	361
725	955	360
726	955	358
727	956	357
728	957	355
729	958	354
730	959	352
731	959	351
732	960	349
733	961	348
734	962	346
735	963	345
736	963	343
737	964	342
738	965	340
739	966	339
740	967	338
741	968	336
742	969	335
743	970	333
744	971	332
745	972	331
746	973	329
747	974	328
748	974	326
749	975	325
750	976	323
751	977	322
752	978	320
753	978	319
754	979	317
755	980	316
756	981	315
757	982	313
758	983	312
759	984	310
760	985	309
761	985	307
762	986	306
763	987	305
764	988	303
765	989	302
766	989	300
767	990	299
768	991	297
769	992	296
770	992	294
771	993	293
772	994	292
773	995	290
774	997	289
775	998	288
776	999	286
777	1000	285
778	1000	283
779	1001	282
780	1002	281
781	1003	279
782	1004	278
783	1004	276
784	1005	275
785	1006	274
786	1007	272
787	1008	271
788	1009	269
789	1010	268
790	1011	267
791	1012	265
792	1013	264
793	1013	263
794	1014	261
795	1015	260
796	1016	258
797	1016	257
798	1017	256
799	1018	254
800	1019	253
801	1020	251
802	1020	250
803	1021	249
804	1022	247
805	1023	246
806	1024	244
807	1024	243
808	1025	242
809	1026	240
810	1027	239
811	1028	238
812	1029	236
813	1030	235
814	1031	234
815	1031	232
816	1032	231
817	1033	229
818	1034	228
819	1035	227
820	1036	225
821	1036	224
822	1037	223
823	1038	221
824	1039	220
825	1040	219
826	1042	217
827	1042	216
828	1043	215
829	1044	213
830	1045	212
831	1046	211
832	1047	209
833	1048	208
834	1049	207
835	1049	205
836	1050	204
837	1051	203
838	1052	201
839	1053	200
840	1054	199
841	1055	198
842	1056	196
843	1057	195
844	1058	194
845	1059	192
846	1060	191
847	1061	190
848	1062	188
849	1063	187
850	1064	186
851	1066	185
852	1066	183
853	1067	182
854	1068	181
855	1069	179
856	1070	178
857	1071	177
858	1072	175
859	1073	174
860	1073	173
